dataset,assembly,engine,sweep_id,binary_md5,term,vep_tuples,vep_only,engine_only,intersection,engine_tuples,precision,recall,f1
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,splice_acceptor_variant,244382,0,0,244382,244382,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,splice_donor_region_variant,162997,0,0,162997,162997,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,splice_donor_5th_base_variant,100670,0,0,100670,100670,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,inframe_deletion,83131,47,47,83084,83131,0.999435,0.999435,0.999435
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,inframe_insertion,33864,0,0,33864,33864,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,coding_sequence_variant,31219,6,6,31213,31219,0.999808,0.999808,0.999808
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,start_lost,19377,262,0,19115,19115,1.000000,0.986479,0.993193
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,stop_lost,6395,0,0,6395,6395,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,protein_altering_variant,4666,30,30,4636,4666,0.993571,0.993571,0.993571
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,stop_retained_variant,4084,0,0,4084,4084,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,incomplete_terminal_codon_variant,2014,0,0,2014,2014,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,start_retained_variant,593,261,261,332,593,0.559865,0.559865,0.559865
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,transcript_ablation,544,0,0,544,544,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,intergenic_variant,493,0,0,493,493,1.000000,1.000000,1.000000
s01,GRCh37,vep-rs,sweep-20260920T012411Z,23a294cf,mature_miRNA_variant,234,0,0,234,234,1.000000,1.000000,1.000000
s02,GRCh38,vep-rs,sweep-20260920T012411Z,23a294cf,missense_variant,27132288,53,53,27132235,27132288,0.999998,0.999998,0.999998
s02,GRCh38,vep-rs,sweep-20260920T012411Z,23a294cf,intron_variant,19107205,582,581,19106623,19107204,0.999970,0.999970,0.999970
s02,GRCh38,vep-rs,sweep-20260920T012411Z,23a294cf,downstream_gene_variant,12001098,0,0,12001098,12001098,1.000000,1.000000,1.000000
s02,GRCh38,vep-rs,sweep-20260920T012411Z,23a294cf,synonymous_variant,9211387,0,9,9211387,9211396,0.999999,1.000000,1.000000
s02,GRCh38,vep-rs,sweep-20260920T012411Z,23a294cf,upstream_gene_variant,8625381,0,0,8625381,8625381,1.000000,1.000000,1.000000
s02,GRCh38,vep-rs,sweep-20260920T012411Z,23a294cf,NMD_transcript_variant,7957272,414,414,7956858,7957272,0.999948,0.999948,0.999948
s02,GRCh38,vep-rs,sweep-20260920T012411Z,23a294cf,non_coding_transcript_exon_variant,5769892,92,92,5769800,5769892,0.999984,0.999984,0.999984
