date,sweep_id,arch,instance_type,clone_run_index,image,kind,probe_index,wall_seconds,exit_code,notes
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,18,1.020,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,19,1.020,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,13,ensemblorg/ensembl-vep:release_115.2,probe,20,1.100,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,1,1.130,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,2,0.970,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,3,1.020,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,4,0.960,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,5,1.030,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,6,0.960,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,7,1.040,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,8,1.010,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,9,1.060,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,10,0.890,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,11,0.950,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,12,0.980,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,13,1.040,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,14,1.050,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,15,1.060,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,16,0.860,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,17,1.080,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,18,0.860,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,19,1.020,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,14,ensemblorg/ensembl-vep:release_115.2,probe,20,0.970,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,1,0.940,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,2,0.940,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,3,1.080,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,4,1.030,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
2026-09-20,sweep-20260920T012411Z,arm64,r8gd.8xlarge,15,ensemblorg/ensembl-vep:release_115.2,probe,5,1.040,0,docker run --rm <image> true; no annotation; image warm from the clone's timed cells
